Sales,Total_Income,Net_Profit,Cash,Operating_Expense_Ratio,Net_Profit_Margin,Current_Ratio,date,id,obs_id,salinitySurface,Quarter,Period
29333.332673714038,58600.47041508704,12135.7218177492,47030.626443315174,0.7667209408552941,0.24225594389532473,1.5049990732998664,2000-01-01,60,1,35.516152727361906,Q1,Monthly
41142.284019261904,145151.71657459813,7407.968699453155,36960.581836360914,0.5496055470739237,0.24613857164400865,2.206700891278957,2000-01-02,72,2,33.222500881643626,Q4,Monthly
56202.33830842163,56470.937014840325,10250.612942804211,4466.883698186244,0.5695356003538651,0.3325878773365062,1.5380281327672962,2000-01-03,71,3,26.451313894496728,Q1,Yearly
90802.22555030177,60904.11879200299,11470.796112953729,9935.545874555593,0.2536666798905537,0.24475928014005044,2.4961300007800467,2000-01-04,82,4,38.096040438401914,Q3,Quarterly
54079.045834086806,49352.93968067534,1908.549468542269,42501.06817391088,0.6075720302832437,0.3982329622490092,1.2602271606862172,2000-01-05,91,5,33.65871879943171,Q3,Monthly
23442.703551306025,106829.92479162314,11585.894496058023,41652.56401909477,0.14135696362752087,0.09671278138390821,1.5274031488273105,2000-01-06,70,6,36.99445657641127,Q4,Monthly
70291.54363554786,122109.67904779829,17496.74126055901,35560.29697413254,0.6398319515354184,0.14066447928009815,1.4313407381744405,2000-01-07,55,7,38.34687534456554,Q1,Quarterly
12925.307284626391,12240.674927436525,17173.275345649494,29047.14382462496,0.7557633663050379,0.32989804259936495,1.3040727247761128,2000-01-08,70,8,28.24740088025856,Q2,Quarterly
26752.933353055938,105057.27446658525,-7446.213324231761,45742.235910157535,0.7119215196706248,0.09527277840666505,2.0896186078324153,2000-01-09,28,9,26.14737880167986,Q3,Monthly
63517.30789074166,50163.23020518384,-4278.332833011522,6913.099794225309,0.3314661391424493,0.3464878027421449,1.4828717728975658,2000-01-10,42,10,26.92656261735748,Q2,Yearly
83287.28724213887,12703.691995860901,14827.360245246113,8598.748601931595,0.734185838366375,0.264557592748615,1.898731463623183,2000-01-11,27,11,33.63988147245611,Q1,Yearly
40552.43763232229,120391.48311665433,3169.707231148499,19081.15839111219,0.4316596807258485,0.14320196703747773,2.160649520168314,2000-01-12,58,12,32.67990558444197,Q3,Yearly
93470.0071916675,64417.103541639306,1449.7620818199211,32172.852243795696,0.10979235006845012,0.14759136401539708,1.8442447003951905,2000-01-13,12,13,28.411468315869993,Q4,Yearly
98728.58335866536,113849.10032187706,2553.179591196167,30695.624701376884,0.682116969829709,0.3436999914442956,1.8604371079475526,2000-01-14,66,14,39.72798523608562,Q4,Monthly
67269.16116160293,83446.25465161337,-857.3933864228147,17799.66365553343,0.7939328172503308,0.070494880013529,1.944101199044688,2000-01-15,31,15,26.851530325941862,Q2,Monthly
54910.20751184591,111987.08043274266,10313.10305750851,39555.13967119303,0.24091856902581177,0.23732037224374153,1.7430258726972419,2000-01-16,44,16,25.31110935154688,Q3,Yearly
38789.86866575897,147561.0770974744,-9750.796704967559,40584.53924226491,0.7686806303925752,0.26457107084472586,2.2430014622038033,2000-01-17,80,17,30.601728819463627,Q2,Yearly
8044.754434123678,91217.81508488099,15770.101213698825,9228.938758479659,0.17446117492571334,0.14434539140364303,2.140787070843815,2000-01-18,70,18,25.968711503824746,Q3,Quarterly
23634.39022486457,62723.81917788914,15795.213431361852,42762.748199463014,0.3015089221358037,0.3328652014781781,1.8596292951065776,2000-01-19,65,19,33.93261053388109,Q3,Yearly
6623.939295008675,77741.1769599033,5942.007541868879,20390.14346431454,0.3237512043948796,0.3847160515933661,2.019398206080398,2000-01-20,90,20,33.057766926742275,Q4,Yearly
50197.83002322786,127105.46544155135,-7112.627071268383,17245.04880881357,0.43078462188869904,0.20101453838250133,1.4917742491204051,2000-01-21,8,21,30.26464356672949,Q4,Monthly
96124.31632279529,5716.622465766412,9943.368175266514,24463.559130679838,0.27259864562814595,0.11556289287602858,1.7706499408948833,2000-01-22,85,22,28.76267976571421,Q4,Yearly
